"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "HTML", "Markdown", "SQL", "comment", "blank", "total"
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\BotonH.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 10, 25
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\BotonP.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 10, 24
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\BotonPH.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 10, 25
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\Opciones.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 14, 49
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\OpcionesOdo.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 14, 41
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\botonh.css", "CSS", 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\opciones.scss", "SCSS", 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\sidebar.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 20, 44
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\sidebar.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 0, 11, 44
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\sidebarP.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 16, 50
"d:\Escuela\Web\software-clinica-dental\src\pages\home\componentes\sidebarP.scss", "SCSS", 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\Administracion.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\AdministracionDoctores.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 3, 4, 41
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\AdministracionDoctoresAdd.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 3, 5, 46
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\AdministracionTratamientos.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 3, 3, 40
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\AdministracionTratamientosAdd.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 3, 2, 31
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\AdministracionTratamientosVista.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 3, 3, 32
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\AgendarCita.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 4, 10, 88
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\HistoriaClinica.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 4, 26, 115
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\Pacientes.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 4, 10, 89
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\LoadPdf.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHisto.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 3, 27, 198
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoConse.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 4, 36
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoEvolucion.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 3, 3, 41
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoEvolucionAdd.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 3, 4, 38
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoEvolucionVista.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 3, 4, 37
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoImagenes.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 3, 2, 36
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoImagenesAdd.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 3, 2, 32
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoOdonto.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 8, 17, 102
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoOdontoAc.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoReceta.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 3, 3, 39
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\PacienteHistoRecetaAdd.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 2, 34
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\NuevoHistorialEndo.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 8, 124
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\NuevoHistorialGeneral.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 15, 80
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\NuevoHistorialOdon.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 15, 120
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\NuevoHistorialOrt.js", "JavaScript", 184, 0, 0, 0, 0, 0, 0, 0, 22, 206
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\Odontograma\Odontogram.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\Odontograma\Odontogram.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 12, 13, 68
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\Odontograma\Teeth.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 7, 9, 53
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\Odontograma\TestMenu.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 2, 42
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\Odontograma\Tooth.css", "CSS", 0, 43, 0, 0, 0, 0, 0, 0, 13, 56
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\Odontograma\Tooth.js", "JavaScript", 201, 0, 0, 0, 0, 0, 0, 16, 16, 233
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\PacienteHistoHistoriales1.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\PacienteHistoHistoriales2.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 16, 56
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\PacienteHistoHistoriales3.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 15, 55
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\PacienteHistoHistoriales4.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 15, 55
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home-pages\home-pages-paciente\comunes\PacienteHistoHistoriales5.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 14, 54
"d:\Escuela\Web\software-clinica-dental\src\pages\home\home.scss", "SCSS", 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"d:\Escuela\Web\software-clinica-dental\src\pages\login\Login.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 15, 41
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\Boton.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 10, 23
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\Input.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\Label.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 8, 20
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\Logo.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 9, 20
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\Titulo.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\boton.css", "CSS", 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\input.css", "CSS", 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\label.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\log.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Escuela\Web\software-clinica-dental\src\pages\login\componentes\titulo.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Escuela\Web\software-clinica-dental\src\pages\login\login.css", "CSS", 0, 29, 0, 0, 0, 0, 0, 4, 4, 37
"d:\Escuela\Web\software-clinica-dental\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Escuela\Web\software-clinica-dental\src\services\citas.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\Escuela\Web\software-clinica-dental\src\services\pacientes.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\Escuela\Web\software-clinica-dental\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 65892, 196, 132, 32711, 23, 18, 776, 473, 12183, 112404
